NLO pQCD calculation (by Werner Vogelsang) 

[pb/GeV^2]

 Theory      pT        direct      fragment   total
 scale 
 (unit pT)
======================================================
All direct photon (BFG-II)
  5.000E-01  3.000E+00  1.168E+04  1.262E+04  2.430E+04
  5.000E-01  4.000E+00  2.633E+03  1.757E+03  4.391E+03
  5.000E-01  5.000E+00  7.789E+02  4.005E+02  1.179E+03
  5.000E-01  6.000E+00  2.784E+02  1.231E+02  4.015E+02
  5.000E-01  7.000E+00  1.141E+02  4.606E+01  1.601E+02
  5.000E-01  8.000E+00  5.173E+01  1.939E+01  7.112E+01
  5.000E-01  9.000E+00  2.531E+01  9.014E+00  3.432E+01
  5.000E-01  1.000E+01  1.326E+01  4.550E+00  1.781E+01
  5.000E-01  1.100E+01  7.290E+00  2.441E+00  9.731E+00
  5.000E-01  1.200E+01  4.175E+00  1.368E+00  5.543E+00
  5.000E-01  1.300E+01  2.477E+00  7.968E-01  3.274E+00
  5.000E-01  1.400E+01  1.511E+00  4.760E-01  1.987E+00
  5.000E-01  1.500E+01  9.461E-01  2.933E-01  1.239E+00
  5.000E-01  1.600E+01  6.061E-01  1.859E-01  7.919E-01
  5.000E-01  1.700E+01  3.953E-01  1.195E-01  5.148E-01
  5.000E-01  1.800E+01  2.622E-01  7.843E-02  3.406E-01
  5.000E-01  1.900E+01  1.766E-01  5.228E-02  2.289E-01
  5.000E-01  2.000E+01  1.204E-01  3.512E-02  1.555E-01
  1.000E+00  2.000E+00  5.030E+04  1.080E+05  1.583E+05
  1.000E+00  3.000E+00  7.523E+03  8.583E+03  1.611E+04
  1.000E+00  4.000E+00  1.747E+03  1.448E+03  3.194E+03
  1.000E+00  5.000E+00  5.338E+02  3.676E+02  9.014E+02
  1.000E+00  6.000E+00  1.965E+02  1.197E+02  3.162E+02
  1.000E+00  7.000E+00  8.236E+01  4.606E+01  1.284E+02
  1.000E+00  8.000E+00  3.803E+01  1.989E+01  5.792E+01
  1.000E+00  9.000E+00  1.892E+01  9.363E+00  2.828E+01
  1.000E+00  1.000E+01  9.996E+00  4.744E+00  1.474E+01
  1.000E+00  1.100E+01  5.546E+00  2.525E+00  8.071E+00
  1.000E+00  1.200E+01  3.196E+00  1.409E+00  4.605E+00
  1.000E+00  1.300E+01  1.908E+00  8.145E-01  2.722E+00
  1.000E+00  1.400E+01  1.172E+00  4.888E-01  1.661E+00
  1.000E+00  1.500E+01  7.372E-01  2.997E-01  1.037E+00
  1.000E+00  1.600E+01  4.742E-01  1.890E-01  6.633E-01
  1.000E+00  1.700E+01  3.102E-01  1.203E-01  4.305E-01
  1.000E+00  1.800E+01  2.064E-01  7.882E-02  2.853E-01
  1.000E+00  1.900E+01  1.392E-01  5.201E-02  1.913E-01
  1.000E+00  2.000E+01  9.532E-02  3.505E-02  1.304E-01
  2.000E+00  2.000E+00  3.759E+04  7.460E+04  1.122E+05
  2.000E+00  3.000E+00  5.731E+03  6.926E+03  1.266E+04
  2.000E+00  4.000E+00  1.350E+03  1.273E+03  2.624E+03
  2.000E+00  5.000E+00  4.179E+02  3.344E+02  7.524E+02
  2.000E+00  6.000E+00  1.546E+02  1.103E+02  2.649E+02
  2.000E+00  7.000E+00  6.506E+01  4.274E+01  1.078E+02
  2.000E+00  8.000E+00  3.020E+01  1.845E+01  4.865E+01
  2.000E+00  9.000E+00  1.505E+01  8.666E+00  2.371E+01
